id,timestamp,length,recieved,completed
R356:36401.747302,0.003987,36401.810877,36401.860879,36401.864866
R357:36401.810848,0.193972,36402.143595,36401.968291,36402.162264
R358:36401.968240,0.172880,36402.317773,36402.162294,36402.335175
R359:36401.972380,0.019801,36402.317773,36402.335195,36402.354996
R360:36402.017615,0.012329,36402.317773,36402.355011,36402.367341
R361:36402.080796,0.043129,36402.317773,36402.367353,36402.410483
R362:36402.143561,0.173640,36402.488284,36402.410499,36402.584140
R363:36402.264317,0.058191,36402.488284,36402.584161,36402.642353
R364:36402.317739,0.017013,36402.488284,36402.642369,36402.659383
R365:36402.411120,0.066933,36402.696285,36402.659397,36402.726330
R366:36402.433048,0.001119,36402.696285,36402.726351,36402.727471
R367:36402.488248,0.028468,36402.732911,36402.727484,36402.755953
R368:36402.679776,0.049297,36402.732911,36402.755970,36402.805268
R369:36402.696251,0.024465,36402.814306,36402.805284,36402.829750
R370:36402.732881,0.069068,36402.856159,36402.829764,36402.898833
R371:36402.814273,0.020891,36402.856159,36402.898853,36402.919745
R372:36402.856133,0.026987,36402.960210,36402.942948,36402.969936
R373:36402.942910,0.094922,36402.982717,36402.969957,36403.064880
R374:36402.960178,0.076711,36403.119421,36403.064899,36403.141611
R375:36402.981518,0.124342,36403.226637,36403.141631,36403.265973
R376:36402.982698,0.061213,36403.226637,36403.265992,36403.327206
R377:36403.119377,0.073500,36403.384187,36403.327222,36403.400723
R378:36403.147106,0.125592,36403.438288,36403.400740,36403.526333
R379:36403.200572,0.019735,36403.438288,36403.526350,36403.546085
R380:36403.221159,0.048156,36403.438288,36403.546101,36403.594257
R381:36403.226607,0.063016,36403.438288,36403.594272,36403.657289
R382:36403.384161,0.114815,36403.724894,36403.657304,36403.772119
R383:36403.438265,0.088976,36403.847461,36403.772143,36403.861120
R384:36403.666365,0.029746,36403.847461,36403.861138,36403.890886
R385:36403.696497,0.001610,36403.892485,36403.890902,36403.892513
R386:36403.699722,0.044532,36403.907640,36403.892528,36403.937060
R387:36403.700099,0.082127,36403.907640,36403.937077,36404.019205
R388:36403.724867,0.047205,36403.907640,36404.019220,36404.066426
R389:36403.847427,0.005433,36403.907640,36404.066440,36404.071874
R390:36403.892459,0.044064,36404.097463,36404.071887,36404.115952
R391:36403.907616,0.002958,36404.097463,36404.116045,36404.119003
R392:36404.091125,0.018723,36404.097463,36404.119021,36404.137745
R393:36404.097441,0.062986,36404.193223,36404.186258,36404.249245
R394:36404.186210,0.217253,36404.383755,36404.249270,36404.466523
R395:36404.193193,0.012109,36404.383755,36404.466543,36404.478652
R396:36404.337560,0.094390,36404.552861,36404.478667,36404.573058
R397:36404.383731,0.000467,36404.552861,36404.573080,36404.573547
R398:36404.491092,0.088904,36404.657382,36404.573560,36404.662465
R399:36404.552836,0.170560,36404.657382,36404.662481,36404.833042
R400:36404.650105,0.103299,36404.889447,36404.833069,36404.936369
R401:36404.657362,0.007134,36404.889447,36404.936393,36404.943528
R402:36404.866436,0.018236,36404.889447,36404.943544,36404.961781
R403:36404.889417,0.006658,36405.007997,36405.008007,36405.014665
R404:36405.007959,0.021643,36405.119711,36405.106105,36405.127749
R405:36405.106070,0.185068,36405.221926,36405.127774,36405.312843
R406:36405.119690,0.006779,36405.221926,36405.312865,36405.319645
R407:36405.221899,0.124406,36405.578887,36405.505467,36405.629874
R408:36405.505420,0.078611,36405.654717,36405.629901,36405.708512
R409:36405.535285,0.037991,36405.745557,36405.708530,36405.746522
R410:36405.578854,0.026102,36405.745557,36405.746542,36405.772645
R411:36405.654684,0.009282,36405.745557,36405.772664,36405.781947
R412:36405.720236,0.031654,36405.807976,36405.781966,36405.813621
R413:36405.726310,0.071897,36405.807976,36405.813639,36405.885537
R414:36405.736844,0.141732,36406.020819,36405.885554,36406.027287
R415:36405.745540,0.015788,36406.020819,36406.027314,36406.043102
R416:36405.807935,0.050177,36406.057228,36406.043117,36406.093295
R417:36405.886780,0.191241,36406.253099,36406.093312,36406.284553
R418:36405.913545,0.008680,36406.253099,36406.284575,36406.293256
R419:36406.017983,0.048232,36406.253099,36406.293270,36406.341503
R420:36406.020787,0.015847,36406.253099,36406.341518,36406.357366
R421:36406.057203,0.011636,36406.253099,36406.357381,36406.369018
R422:36406.100266,0.037916,36406.253099,36406.369030,36406.406946
R423:36406.126605,0.069947,36406.429935,36406.406964,36406.476912
R424:36406.127008,0.041320,36406.483437,36406.476929,36406.518250
R425:36406.136658,0.101018,36406.483437,36406.518265,36406.619284
R426:36406.142954,0.076944,36406.671250,36406.619305,36406.696250
R427:36406.253072,0.134593,36406.779026,36406.696275,36406.830869
R428:36406.425267,0.003222,36406.779026,36406.830895,36406.834118
R429:36406.429906,0.012997,36406.834424,36406.834134,36406.847132
R430:36406.483406,0.007733,36406.834424,36406.847153,36406.854888
R431:36406.671223,0.060454,36406.834424,36406.854903,36406.915358
R432:36406.706313,0.080340,36406.957897,36406.915376,36406.995717
