id,timestamp,length,recieved,started,completed
R0:36389.136890,0.033434,36389.136947,36389.136954,36389.170389
R1:36389.267903,0.106778,36389.267941,36389.267947,36389.374726
R2:36389.377095,0.014672,36389.377130,36389.377136,36389.391809
R3:36389.550431,0.097467,36389.602912,36389.550476,36389.647944
R4:36389.579617,0.053825,36389.681713,36389.647974,36389.701799
R5:36389.602878,0.066080,36389.681713,36389.701822,36389.767903
R6:36389.649247,0.048021,36389.681713,36389.767922,36389.815944
R7:36389.681680,0.165284,36389.971440,36389.815959,36389.981244
R8:36389.898935,0.084224,36390.016244,36389.981264,36390.065488
R9:36389.971405,0.062258,36390.016244,36390.065508,36390.127767
R10:36389.982341,0.018549,36390.016244,36390.127793,36390.146343
R11:36389.983534,0.108703,36390.016244,36390.146358,36390.255062
R12:36389.994091,0.034160,36390.016244,36390.255080,36390.289241
R13:36390.006278,0.007680,36390.016244,36390.289257,36390.296938
R14:36390.016224,0.016415,36390.016244,36390.296950,36390.313366
R15:36390.504451,0.121803,36390.623653,36390.504502,36390.626307
R16:36390.555857,0.023401,36390.623653,36390.626331,36390.649733
R17:36390.623618,0.049529,36390.696154,36390.649748,36390.699278
R18:36390.696127,0.240241,36390.883356,36390.699292,36390.939535
R19:36390.744751,0.098373,36391.006347,36390.939574,36391.037948
R20:36390.769511,0.097953,36391.074962,36391.037978,36391.135933
R21:36390.822973,0.148085,36391.281346,36391.135983,36391.284069
R22:36390.859505,0.028971,36391.300818,36391.284104,36391.313076
R23:36390.883319,0.167576,36391.466936,36391.313111,36391.480688
R24:36391.001118,0.198824,36391.669420,36391.480731,36391.679556
R25:36391.006313,0.005999,36391.669420,36391.679594,36391.685594
R26:36391.059653,0.072556,36391.669420,36391.685613,36391.758170
R27:36391.074924,0.028605,36391.669420,36391.758218,36391.786824
R28:36391.232769,0.001348,36391.669420,36391.786859,36391.788208
R29:36391.237554,0.004345,36391.669420,36391.788224,36391.792570
R30:36391.281286,0.235195,36391.957201,36391.792583,36392.027779
R31:36391.300763,0.126885,36392.081852,36392.027846,36392.154732
R32:36391.466871,0.051734,36392.081852,36392.154801,36392.206536
R33:36391.489064,0.095210,36392.257556,36392.206570,36392.301782
R34:36391.522680,0.073453,36392.257556,36392.301831,36392.375285
R35:36391.574026,0.002672,36392.257556,36392.375324,36392.377997
R36:36391.628228,0.179055,36392.481464,36392.378013,36392.557069
R37:36391.669381,0.085092,36392.635824,36392.557115,36392.642209
R38:36391.860192,0.089430,36392.718215,36392.642322,36392.731754
R39:36391.884135,0.029135,36392.718215,36392.731810,36392.760946
R40:36391.957133,0.012099,36392.765294,36392.761027,36392.773127
R41:36392.040346,0.141393,36392.765294,36392.773166,36392.914560
R42:36392.081806,0.026732,36392.765294,36392.914637,36392.941370
R43:36392.208079,0.149228,36393.064387,36392.941549,36393.090778
R44:36392.226679,0.077367,36393.133476,36393.090845,36393.168213
R45:36392.257507,0.059219,36393.133476,36393.168266,36393.227486
R46:36392.481418,0.130447,36393.300807,36393.227513,36393.357961
R47:36392.557943,0.171775,36393.428849,36393.357983,36393.529759
R48:36392.599333,0.112409,36393.428849,36393.529782,36393.642193
R49:36392.635679,0.161254,36393.727674,36393.642212,36393.803467
R50:36392.718147,0.016208,36393.810079,36393.803488,36393.819697
R51:36392.765249,0.168489,36393.933959,36393.819715,36393.988205
R52:36392.979642,0.141944,36394.054200,36393.988230,36394.130175
R53:36392.991093,0.037703,36394.054200,36394.130201,36394.167905
R54:36393.064317,0.021998,36394.168412,36394.167923,36394.189922
R55:36393.133415,0.024492,36394.168412,36394.189939,36394.214432
R56:36393.243591,0.017088,36394.168412,36394.214448,36394.231537
R57:36393.285935,0.021553,36394.244762,36394.231550,36394.253103
R58:36393.300785,0.035914,36394.244762,36394.253119,36394.289034
R59:36393.358866,0.158203,36394.426550,36394.289051,36394.447256
R60:36393.372158,0.008984,36394.426550,36394.447280,36394.456265
R61:36393.379949,0.095273,36394.491222,36394.456280,36394.551555
R62:36393.428825,0.182229,36394.491222,36394.551574,36394.733803
R63:36393.727645,0.032213,36394.491222,36394.733835,36394.766049
R64:36393.810052,0.030661,36394.491222,36394.766067,36394.796729
R65:36393.909026,0.017620,36394.491222,36394.796755,36394.814377
R66:36393.933926,0.018684,36394.491222,36394.814394,36394.833079
R67:36393.996672,0.087822,36394.491222,36394.833094,36394.920916
R68:36394.008498,0.105154,36394.491222,36394.920935,36395.026090
R69:36394.018088,0.091118,36394.491222,36395.026112,36395.117231
