id,timestamp,length,recieved,completed
R0:50926.032212,0.050151,50926.032410,50926.082562
R1:50926.337870,0.160167,50926.337915,50926.498083
R2:50926.592617,0.022009,50926.592644,50926.614654
R3:50926.997040,0.146201,50926.997083,50927.143285
R4:50927.065112,0.080737,50927.143316,50927.224053
R5:50927.119364,0.099121,50927.224074,50927.323195
R6:50927.227535,0.072031,50927.323215,50927.395247
R7:50927.303184,0.247926,50927.395264,50927.643191
R8:50927.810094,0.126336,50927.810123,50927.936460
R9:50927.978417,0.093387,50927.978441,50928.071829
R10:50928.003890,0.027824,50928.071852,50928.099678
R11:50928.006644,0.163054,50928.099694,50928.262749
R12:50928.031258,0.051240,50928.262771,50928.314012
R13:50928.059675,0.011520,50928.314029,50928.325549
R14:50928.082860,0.024623,50928.325566,50928.350190
R15:50929.222039,0.182705,50929.222081,50929.404787
R16:50929.341965,0.035102,50929.404817,50929.439920
R17:50929.500050,0.074294,50929.500075,50929.574370
R18:50929.669213,0.360362,50929.669253,50930.029617
R19:50929.782634,0.147560,50930.029641,50930.177202
R20:50929.840325,0.146930,50930.177232,50930.324163
R21:50929.965026,0.222128,50930.324183,50930.546312
R22:50930.050243,0.043457,50930.546334,50930.589792
R23:50930.105781,0.251363,50930.589808,50930.841172
R24:50930.380602,0.298236,50930.841200,50931.139437
R25:50930.392671,0.008999,50931.139458,50931.148458
R26:50930.517110,0.108835,50931.148472,50931.257307
R27:50930.552702,0.042908,50931.257326,50931.300235
R28:50930.920949,0.002023,50931.300255,50931.302278
R29:50930.932025,0.006517,50931.302292,50931.308810
R30:50931.034029,0.352792,50931.308824,50931.661617
R31:50931.079410,0.190327,50931.661640,50931.851968
R32:50931.466912,0.077601,50931.851985,50931.929587
R33:50931.518624,0.142815,50931.929602,50932.072418
R34:50931.597028,0.110179,50932.072449,50932.182628
R35:50931.716800,0.004007,50932.182650,50932.186658
R36:50931.843227,0.268582,50932.186673,50932.455257
R37:50931.939179,0.127637,50932.455279,50932.582918
R38:50932.384343,0.134145,50932.582943,50932.717089
R39:50932.440113,0.043703,50932.717114,50932.760818
R40:50932.610397,0.018149,50932.760834,50932.778984
R41:50932.804465,0.212089,50932.804497,50933.016587
R42:50932.901160,0.040098,50933.016612,50933.056711
R43:50933.195722,0.223841,50933.195749,50933.419591
R44:50933.239078,0.116050,50933.419615,50933.535666
R45:50933.310983,0.088829,50933.535688,50933.624518
R46:50933.833378,0.195670,50933.833410,50934.029081
R47:50934.011883,0.257662,50934.029108,50934.286771
R48:50934.108406,0.168614,50934.286791,50934.455406
R49:50934.193127,0.241880,50934.455429,50934.697310
R50:50934.385263,0.024312,50934.697332,50934.721645
R51:50934.495070,0.252733,50934.721664,50934.974399
R52:50934.995225,0.212915,50934.995254,50935.208171
R53:50935.021873,0.056555,50935.208197,50935.264753
R54:50935.192664,0.032998,50935.264769,50935.297767
R55:50935.353768,0.036739,50935.353797,50935.390537
R56:50935.610752,0.025632,50935.611063,50935.636696
R57:50935.709511,0.032329,50935.709537,50935.741867
R58:50935.744142,0.053871,50935.744163,50935.798035
R59:50935.879647,0.237305,50935.879672,50936.116978
R60:50935.910642,0.013476,50936.117001,50936.130478
R61:50935.928805,0.142910,50936.130494,50936.273404
R62:50936.042831,0.273343,50936.273422,50936.546766
R63:50936.740063,0.048319,50936.740098,50936.788418
R64:50936.932326,0.045992,50936.932351,50936.978344
R65:50937.163239,0.026431,50937.163269,50937.189701
R66:50937.221324,0.028026,50937.221346,50937.249373
R67:50937.367713,0.131732,50937.367741,50937.499475
R68:50937.395288,0.157731,50937.499502,50937.657234
R69:50937.417648,0.136677,50937.657255,50937.793932
R70:50937.447537,0.299782,50937.793954,50938.093736
R71:50937.460459,0.073723,50938.093757,50938.167481
R72:50937.469465,0.027452,50938.167497,50938.194950
R73:50937.501785,0.131921,50938.195088,50938.327010
R74:50937.768215,0.342360,50938.327032,50938.669393
R75:50937.946362,0.142601,50938.669420,50938.812022
R76:50938.116404,0.014491,50938.812048,50938.826540
R77:50938.132785,0.008146,50938.826555,50938.834702
R78:50938.255201,0.022898,50938.834716,50938.857615
R79:50938.267296,0.171301,50938.857628,50939.028930
R80:50938.370451,0.140887,50939.028951,50939.169839
R81:50938.512425,0.017175,50939.169864,50939.187039
R82:50938.521330,0.022857,50939.187056,50939.209913
R83:50940.513796,0.013407,50940.513842,50940.527250
R84:50940.881633,0.005557,50940.881675,50940.887233
R85:50941.901462,0.007508,50941.901497,50941.909006
R86:50942.242216,0.256485,50942.242587,50942.499073
R87:50942.242931,0.019891,50942.499103,50942.518994
R88:50942.393137,0.049707,50942.519010,50942.568718
R89:50942.422837,0.171311,50942.568732,50942.740044
R90:50942.829879,0.080405,50942.829911,50942.910317
R91:50942.904045,0.060253,50942.910344,50942.970599
R92:50943.048417,0.010496,50943.048443,50943.058940
R93:50943.242235,0.141590,50943.242262,50943.383854
R94:50943.368379,0.485729,50943.383877,50943.869607
R95:50943.428868,0.210057,50943.869636,50944.079694
R96:50943.572271,0.099131,50944.079717,50944.178849
R97:50943.801884,0.137754,50944.178880,50944.316636
R98:50943.807921,0.259530,50944.316655,50944.576186
R99:50944.106487,0.177808,50944.576210,50944.754019
R100:50944.450798,0.136184,50944.754048,50944.890233
R101:50945.098174,0.411021,50945.098202,50945.509225
R102:50945.487665,0.068768,50945.509253,50945.578022
R103:50945.670895,0.177203,50945.670923,50945.848126
R104:50945.700761,0.008012,50945.848156,50945.856168
R105:50946.067071,0.028508,50946.067103,50946.095612
R106:50946.241928,0.026024,50946.241968,50946.267993
R107:50946.407426,0.038107,50946.407460,50946.445568
R108:50946.608459,0.026322,50946.608624,50946.634947
R109:50946.674919,0.100259,50946.674946,50946.775206
R110:50946.687780,0.105306,50946.775227,50946.880534
R111:50946.729990,0.355665,50946.880557,50947.236223
R112:50946.849133,0.078989,50947.236251,50947.315242
R113:50946.903914,0.012023,50947.315259,50947.327283
R114:50947.115657,0.089781,50947.327298,50947.417080
R115:50947.221957,0.059951,50947.417101,50947.477052
R116:50947.703325,0.188180,50947.703357,50947.891538
R117:50947.771682,0.000324,50947.891565,50947.891889
R118:50947.866709,0.091250,50947.891904,50947.983155
R119:50947.937234,0.026643,50947.983174,50948.009818
R120:50948.235787,0.065962,50948.235826,50948.301789
R121:50948.423373,0.036378,50948.423409,50948.459789
R122:50948.533004,0.020157,50948.533030,50948.553189
R123:50948.740538,0.004172,50948.740577,50948.744751
R124:50948.902624,0.119067,50948.902664,50949.021732
R125:50948.991712,0.101512,50949.021762,50949.123275
R126:50949.178507,0.020410,50949.178532,50949.198944
R127:50949.249585,0.098660,50949.249609,50949.348270
R128:50949.406153,0.039805,50949.406177,50949.445983
R129:50949.624844,0.022591,50949.624872,50949.647465
R130:50949.849659,0.115441,50949.849699,50949.965142
R131:50950.272551,0.029742,50950.272592,50950.302335
R132:50950.449042,0.009172,50950.449074,50950.458247
R133:50950.575767,0.209870,50950.575805,50950.785676
R134:50950.626082,0.009843,50950.785700,50950.795544
R135:50950.819227,0.044879,50950.819251,50950.864131
R136:50950.838906,0.089946,50950.864160,50950.954107
R137:50950.982198,0.034077,50950.982225,50951.016303
R138:50951.165263,0.034021,50951.165290,50951.199313
R139:50951.414459,0.021041,50951.414536,50951.435578
R140:50951.481136,0.000358,50951.481164,50951.481524
R141:50952.174175,0.040269,50952.174472,50952.214742
R142:50952.466985,0.057358,50952.467024,50952.524384
R143:50952.501757,0.251245,50952.524412,50952.775658
R144:50953.032667,0.120090,50953.033029,50953.153120
R145:50953.273961,0.115768,50953.273990,50953.389760
R146:50953.295507,0.148843,50953.389786,50953.538630
R147:50953.376228,0.248019,50953.538658,50953.786678
R148:50953.853849,0.022759,50953.853878,50953.876638
R149:50954.183853,0.079417,50954.183897,50954.263315
R150:50954.446915,0.235317,50954.446945,50954.682263
R151:50954.505737,0.207131,50954.682289,50954.889421
R152:50954.906419,0.085849,50954.906448,50954.992298
R153:50955.021349,0.032008,50955.021374,50955.053384
R154:50955.050976,0.067806,50955.053409,50955.121216
R155:50955.384220,0.189009,50955.384251,50955.573261
R156:50955.488077,0.034397,50955.573288,50955.607686
R157:50955.602288,0.115258,50955.607704,50955.722963
R158:50955.635467,0.014973,50955.722983,50955.737957
R159:50955.852199,0.067810,50955.852226,50955.920038
R160:50956.006233,0.128827,50956.006261,50956.135088
R161:50956.309750,0.025098,50956.309778,50956.334878
R162:50956.342480,0.012926,50956.342502,50956.355429
R163:50956.457530,0.044698,50956.457553,50956.502252
R164:50956.482341,0.268671,50956.502278,50956.770950
R165:50956.547815,0.097311,50956.770975,50956.868287
R166:50956.946371,0.170445,50956.946402,50957.116848
R167:50957.248553,0.040793,50957.248579,50957.289373
R168:50957.362792,0.107538,50957.362819,50957.470357
R169:50957.446380,0.029963,50957.470379,50957.500343
R170:50957.602855,0.007531,50957.602890,50957.610422
R171:50957.630212,0.104187,50957.630235,50957.734424
R172:50957.649248,0.034006,50957.734444,50957.768450
R173:50957.724583,0.009557,50957.768464,50957.778022
R174:50957.791691,0.272562,50957.791711,50958.064274
R175:50957.884612,0.030851,50958.064296,50958.095148
R176:50958.030640,0.143455,50958.095178,50958.238634
R177:50958.209846,0.017111,50958.238653,50958.255765
R178:50958.321248,0.098261,50958.321275,50958.419537
R179:50958.678917,0.023300,50958.678959,50958.702260
R180:50958.800476,0.055547,50958.800503,50958.856051
R181:50958.936404,0.050152,50958.936435,50958.986588
R182:50959.231690,0.039455,50959.231986,50959.271442
R183:50959.278399,0.101792,50959.278423,50959.380216
R184:50959.496246,0.041286,50959.496274,50959.537561
R185:50960.194500,0.014627,50960.194553,50960.209181
R186:50960.574276,0.000542,50960.574304,50960.574847
R187:50960.662457,0.148893,50960.662493,50960.811388
R188:50960.917334,0.012179,50960.917364,50960.929544
R189:50960.975299,0.127656,50960.975323,50961.102981
R190:50961.309724,0.059621,50961.309765,50961.369387
R191:50961.319131,0.123069,50961.369417,50961.492487
R192:50962.036253,0.064225,50962.036289,50962.100516
R193:50962.075750,0.009863,50962.100545,50962.110408
R194:50962.409736,0.048272,50962.409776,50962.458049
R195:50962.427236,0.107037,50962.458079,50962.565117
R196:50962.487117,0.014122,50962.565138,50962.579261
R197:50962.763129,0.005490,50962.763159,50962.768651
R198:50962.771962,0.151808,50962.771982,50962.923791
