id,timestamp,length,recieved,started,completed
R0:45725.663896,0.033434,45725.664013,45725.664018,45725.697453
R1:45725.925895,0.106778,45725.925938,45725.925947,45726.032726
R2:45726.144252,0.014672,45726.144289,45726.144297,45726.158971
R3:45726.490905,0.097467,45726.549292,45726.490965,45726.588434
R4:45726.549259,0.053825,45726.595795,45726.588459,45726.642285
R5:45726.595763,0.066080,45726.688775,45726.642304,45726.708385
R6:45726.688484,0.048021,45726.753360,45726.708402,45726.756424
R7:45726.753328,0.165284,45726.753360,45726.756439,45726.921724
R8:45727.187822,0.084224,45727.188149,45727.188160,45727.272385
R9:45727.332107,0.062258,45727.377452,45727.332162,45727.394421
R10:45727.353956,0.018549,45727.401819,45727.394453,45727.413003
R11:45727.356326,0.108703,45727.421694,45727.413020,45727.521724
R12:45727.377428,0.034160,45727.421694,45727.521743,45727.555903
R13:45727.401788,0.007680,45727.421694,45727.555918,45727.563599
R14:45727.421664,0.016415,45727.421694,45727.563611,45727.580027
R15:45728.398106,0.121803,45728.501153,45728.398166,45728.519970
R16:45728.500898,0.023401,45728.501153,45728.519998,45728.543400
R17:45728.636402,0.049529,45728.636722,45728.636731,45728.686261
R18:45728.781403,0.240241,45728.928425,45728.781722,45729.021965
R19:45728.878619,0.098373,45729.108267,45729.021994,45729.120367
R20:45728.928070,0.097953,45729.155922,45729.120385,45729.218339
R21:45729.034961,0.148085,45729.155922,45729.218357,45729.366443
R22:45729.108012,0.028971,45729.391217,45729.366470,45729.395442
R23:45729.155618,0.167576,45729.538756,45729.395459,45729.563036
R24:45729.391182,0.198824,45729.538756,45729.563055,45729.761880
R25:45729.401535,0.005999,45729.538756,45729.761900,45729.767900
R26:45729.508198,0.072556,45729.538756,45729.767913,45729.840470
R27:45729.538710,0.028605,45729.863880,45729.840486,45729.869092
R28:45729.854353,0.001348,45729.863880,45729.869108,45729.870457
R29:45729.863849,0.004345,45729.863880,45729.870470,45729.874815
R30:45729.951284,0.235195,45729.990518,45729.951327,45730.186523
R31:45729.990183,0.126885,45729.990518,45730.186546,45730.313431
R32:45730.322331,0.051734,45730.366691,45730.322376,45730.374111
R33:45730.366654,0.095210,45730.434340,45730.374138,45730.469349
R34:45730.433863,0.073453,45730.536821,45730.469366,45730.542819
R35:45730.536529,0.002672,45730.536821,45730.542840,45730.545513
R36:45730.644894,0.179055,45730.727374,45730.644937,45730.823993
R37:45730.727141,0.085092,45730.727374,45730.824017,45730.909109
R38:45731.108715,0.089430,45731.157096,45731.108968,45731.198399
R39:45731.156518,0.029135,45731.157096,45731.198424,45731.227561
R40:45731.302477,0.012099,45731.302517,45731.302526,45731.314627
R41:45731.468826,0.141393,45731.552002,45731.468877,45731.610271
R42:45731.551709,0.026732,45731.552002,45731.610298,45731.637031
R43:45731.804195,0.149228,45731.903028,45731.804241,45731.953470
R44:45731.841361,0.077367,45731.903028,45731.953495,45732.030863
R45:45731.902995,0.059219,45731.903028,45732.030884,45732.090104
R46:45732.350763,0.130447,45732.351189,45732.351198,45732.481646
R47:45732.503773,0.171775,45732.659166,45732.503817,45732.675593
R48:45732.586511,0.112409,45732.659166,45732.675617,45732.788027
R49:45732.659131,0.161254,45732.918309,45732.788046,45732.949301
R50:45732.823821,0.016208,45732.918309,45732.949321,45732.965530
R51:45732.917943,0.168489,45732.918309,45732.965545,45733.134035
R52:45733.346645,0.141944,45733.369783,45733.346698,45733.488643
R53:45733.369491,0.037703,45733.515937,45733.488669,45733.526373
R54:45733.515900,0.021998,45733.515937,45733.526391,45733.548390
R55:45733.653995,0.024492,45733.654033,45733.654041,45733.678535
R56:45733.874273,0.017088,45733.874315,45733.874324,45733.891413
R57:45733.958932,0.021553,45733.959196,45733.959204,45733.980758
R58:45733.988620,0.035914,45733.988929,45733.988937,45734.024852
R59:45734.104768,0.158203,45734.244684,45734.104817,45734.263022
R60:45734.131337,0.008984,45734.244684,45734.263049,45734.272034
R61:45734.146909,0.095273,45734.244684,45734.272051,45734.367325
R62:45734.244648,0.182229,45734.244684,45734.367347,45734.549577
R63:45734.842279,0.032213,45734.842332,45734.842351,45734.874565
R64:45735.007078,0.030661,45735.007154,45735.007225,45735.037887
R65:45735.205007,0.017620,45735.205047,45735.205056,45735.222677
R66:45735.254796,0.018684,45735.254829,45735.254836,45735.273521
R67:45735.380275,0.087822,45735.467554,45735.380620,45735.468443
R68:45735.403920,0.105154,45735.495485,45735.468470,45735.573624
R69:45735.423101,0.091118,45735.495485,45735.573644,45735.664763
R70:45735.448724,0.199854,45735.723632,45735.664782,45735.864638
R71:45735.459803,0.049149,45735.876331,45735.864662,45735.913812
R72:45735.467524,0.018301,45735.876331,45735.913831,45735.932133
R73:45735.495229,0.087948,45735.876331,45735.932149,45736.020098
R74:45735.723598,0.228240,45736.239839,45736.020118,45736.248359
R75:45735.876295,0.095067,45736.239839,45736.248381,45736.343449
R76:45736.022052,0.009661,45736.239839,45736.343472,45736.353133
R77:45736.036090,0.005431,45736.239839,45736.353152,45736.358583
R78:45736.141022,0.015265,45736.369478,45736.358597,45736.373863
R79:45736.151391,0.114200,45736.369478,45736.373879,45736.488080
R80:45736.239806,0.093925,45736.369478,45736.488103,45736.582029
R81:45736.361496,0.011450,45736.369478,45736.582049,45736.593499
R82:45736.369134,0.015238,45736.369478,45736.593514,45736.608753
R83:45738.076966,0.008938,45738.077030,45738.077042,45738.085982
R84:45738.392271,0.003705,45738.392667,45738.392678,45738.396385
R85:45739.266413,0.005005,45739.266683,45739.266694,45739.271700
R86:45739.558495,0.170990,45739.713353,45739.558757,45739.729748
R87:45739.559112,0.013260,45739.713353,45739.729776,45739.743037
R88:45739.687862,0.033138,45739.713353,45739.743055,45739.776194
R89:45739.713322,0.114207,45739.713353,45739.776210,45739.890418
R90:45740.062216,0.053603,45740.062275,45740.062285,45740.115889
R91:45740.125789,0.040169,45740.125821,45740.125828,45740.165998
R92:45740.249541,0.006997,45740.249850,45740.249858,45740.256856
R93:45740.415675,0.094394,45740.416044,45740.416052,45740.510447
R94:45740.523798,0.323819,45740.698604,45740.523843,45740.847663
R95:45740.575654,0.140038,45740.900862,45740.847688,45740.987728
R96:45740.698571,0.066087,45740.900862,45740.987749,45741.053838
R97:45740.895383,0.091836,45740.900862,45741.053855,45741.145692
R98:45740.900554,0.173020,45741.156552,45741.145713,45741.318734
R99:45741.156462,0.118539,45741.156552,45741.318752,45741.437293
R100:45741.451584,0.090789,45741.451616,45741.451626,45741.542417
R101:45742.006481,0.274014,45742.006570,45742.006647,45742.280663
R102:45742.340336,0.045845,45742.340384,45742.340392,45742.386239
R103:45742.497393,0.118135,45742.523455,45742.497440,45742.615576
R104:45742.522998,0.005341,45742.523455,45742.615602,45742.620944
R105:45742.836980,0.019005,45742.837020,45742.837029,45742.856036
R106:45742.986857,0.017350,45742.986895,45742.986903,45743.004254
R107:45743.128713,0.025404,45743.128750,45743.128759,45743.154165
R108:45743.301027,0.017548,45743.301104,45743.301171,45743.318721
R109:45743.357996,0.066839,45743.405234,45743.358037,45743.424877
R110:45743.369020,0.070204,45743.405234,45743.424975,45743.495180
R111:45743.405202,0.237110,45743.554572,45743.495206,45743.732317
R112:45743.507325,0.052660,45743.735827,45743.732340,45743.785000
R113:45743.554283,0.008015,45743.735827,45743.785017,45743.793033
R114:45743.735778,0.059854,45743.827374,45743.793048,45743.852903
R115:45743.826893,0.039967,45743.827374,45743.852919,45743.892887
R116:45744.239498,0.125453,45744.298133,45744.239764,45744.365218
R117:45744.298098,0.000216,45744.298133,45744.365245,45744.365462
R118:45744.379554,0.060833,45744.440038,45744.379907,45744.440742
R119:45744.440003,0.017762,45744.440038,45744.440762,45744.458525
R120:45744.695909,0.043974,45744.695959,45744.695969,45744.739945
R121:45744.856704,0.024252,45744.857016,45744.857025,45744.881278
R122:45744.950675,0.013438,45744.950914,45744.950922,45744.964361
R123:45745.128562,0.002782,45745.128600,45745.128609,45745.131392
R124:45745.267495,0.079378,45745.343888,45745.267741,45745.347121
R125:45745.343855,0.067674,45745.343888,45745.347145,45745.414821
R126:45745.503965,0.013607,45745.503999,45745.504008,45745.517616
R127:45745.564895,0.065773,45745.564929,45745.564937,45745.630711
R128:45745.699100,0.026537,45745.699358,45745.699366,45745.725904
R129:45745.886550,0.015061,45745.886863,45745.886872,45745.901934
R130:45746.079252,0.076961,45746.079290,45746.079299,45746.156261
R131:45746.441735,0.019828,45746.441773,45746.441782,45746.461611
R132:45746.593013,0.006115,45746.593052,45746.593060,45746.599176
R133:45746.701639,0.139913,45746.744797,45746.701852,45746.841766
R134:45746.744765,0.006562,45746.744797,45746.841791,45746.848354
R135:45746.910318,0.029919,45746.927550,45746.910703,45746.940624
R136:45746.927190,0.059964,45746.927550,45746.940644,45747.000609
R137:45747.050011,0.022718,45747.050048,45747.050057,45747.072776
R138:45747.206929,0.022681,45747.206964,45747.206973,45747.229655
R139:45747.420530,0.014028,45747.420841,45747.420849,45747.434878
R140:45747.477682,0.000239,45747.477708,45747.477721,45747.477962
R141:45748.071716,0.026846,45748.071769,45748.071779,45748.098627
R142:45748.322704,0.038239,45748.352539,45748.322748,45748.360988
R143:45748.352508,0.167496,45748.352539,45748.361010,45748.528507
R144:45748.807576,0.080060,45748.807619,45748.807629,45748.887690
R145:45749.014399,0.077179,45749.032904,45749.014722,45749.091902
R146:45749.032872,0.099229,45749.102373,45749.091928,45749.191158
R147:45749.102064,0.165346,45749.102373,45749.191178,45749.356525
R148:45749.511452,0.015173,45749.511489,45749.511498,45749.526672
R149:45749.794318,0.052944,45749.794378,45749.794389,45749.847335
R150:45750.019797,0.156878,45750.070616,45750.020124,45750.177004
R151:45750.070220,0.138087,45750.070616,45750.177031,45750.315119
