R[157],17194.266862s,0.096048s,17194.267033s,17194.267035s
R[158],17194.286846s,0.012477s,17194.286956s,17194.286958s
R[159],17194.416925s,0.056509s,17194.417016s,17194.417016s
R[160],17194.509377s,0.107356s,17194.509500s,17194.509501s
R[161],17194.691545s,0.020915s,17194.691726s,17194.691728s
R[162],17194.711270s,0.010772s,17194.711416s,17194.711417s
R[163],17194.780362s,0.037248s,17194.780512s,17194.780513s
R[164],17194.795312s,0.223892s,17194.795461s,17194.795463s
R[165],17194.834664s,0.081093s,17194.834800s,17194.834801s
R[166],17195.073855s,0.142038s,17195.073971s,17195.142055s
R[167],17195.255216s,0.033994s,17195.255324s,17195.255325s
R[168],17195.323810s,0.089615s,17195.323931s,17195.323932s
R[169],17195.374018s,0.024969s,17195.374178s,17195.374179s
R[170],17195.467982s,0.006276s,17195.468069s,17195.468069s
R[171],17195.484411s,0.086823s,17195.484486s,17195.484487s
R[172],17195.495848s,0.028338s,17195.495922s,17195.495922s
R[173],17195.541072s,0.007964s,17195.541192s,17195.541193s
R[174],17195.581392s,0.227135s,17195.581506s,17195.581507s
R[175],17195.637193s,0.025709s,17195.637343s,17195.637344s
R[176],17195.724872s,0.119546s,17195.724961s,17195.724962s
R[177],17195.832423s,0.014259s,17195.832513s,17195.832514s
R[178],17195.899292s,0.081884s,17195.899396s,17195.899397s
R[179],17196.113933s,0.019416s,17196.114056s,17196.114056s
R[180],17196.186917s,0.046289s,17196.187019s,17196.187020s
R[181],17196.268513s,0.041793s,17196.268630s,17196.268631s
R[182],17196.445738s,0.032879s,17196.445919s,17196.445920s
R[183],17196.473848s,0.084827s,17196.473984s,17196.473985s
R[184],17196.604610s,0.034405s,17196.604736s,17196.604738s
R[185],17197.023620s,0.012189s,17197.023744s,17197.023745s
R[186],17197.251541s,0.000452s,17197.251703s,17197.251705s
R[187],17197.304527s,0.124078s,17197.304678s,17197.304680s
R[188],17197.457510s,0.010149s,17197.457616s,17197.457617s
R[189],17197.492328s,0.106380s,17197.492413s,17197.492414s
R[190],17197.693020s,0.049684s,17197.693190s,17197.693192s
R[191],17197.698150s,0.102558s,17197.698281s,17197.698282s
R[192],17198.128474s,0.053521s,17198.128589s,17198.128590s
R[193],17198.152220s,0.008219s,17198.152331s,17198.152332s
R[194],17198.352669s,0.040226s,17198.352821s,17198.352823s
R[195],17198.363232s,0.089198s,17198.363313s,17198.363314s
R[196],17198.399186s,0.011768s,17198.399289s,17198.399290s
R[197],17198.564838s,0.004575s,17198.565016s,17198.565017s
R[198],17198.570225s,0.126507s,17198.570360s,17198.570361s
R[199],17198.631476s,0.048700s,17198.631614s,17198.631616s
R[200],17198.749336s,0.074226s,17198.749453s,17198.749454s
R[201],17198.762070s,0.062901s,17198.762150s,17198.762150s
R[202],17198.848523s,0.037441s,17198.848611s,17198.848612s
R[203],17198.938957s,0.182978s,17198.939066s,17198.939067s
R[204],17198.975294s,0.015509s,17198.975403s,17198.975404s
R[205],17199.040078s,0.062168s,17199.040183s,17199.062186s
R[206],17199.134227s,0.075569s,17199.134431s,17199.134433s
R[207],17199.230812s,0.147569s,17199.230966s,17199.230967s
R[208],17199.257504s,0.008672s,17199.257680s,17199.257681s
R[209],17199.264844s,0.015492s,17199.264995s,17199.264996s
R[210],17199.524692s,0.021294s,17199.524868s,17199.524870s
R[211],17199.590547s,0.028638s,17199.590638s,17199.590639s
R[212],17199.765901s,0.175501s,17199.766060s,17199.766061s
R[213],17199.810191s,0.140575s,17199.810349s,17199.810350s
R[214],17199.852469s,0.003084s,17199.852606s,17199.852607s
R[215],17199.960166s,0.125520s,17199.960350s,17199.960352s
R[216],17199.990022s,0.150710s,17199.990163s,17199.990164s
