R[451],17222.687427s,0.008987s,17222.687506s,17222.687506s
R[452],17222.906771s,0.026262s,17222.906877s,17222.906878s
R[453],17222.972178s,0.028276s,17222.972286s,17222.972287s
R[454],17222.994507s,0.244790s,17222.994581s,17222.994582s
R[455],17223.101724s,0.058923s,17223.101817s,17223.101818s
R[456],17223.126857s,0.229529s,17223.126947s,17223.229546s
R[457],17223.277655s,0.029083s,17223.277765s,17223.277765s
R[458],17223.293042s,0.086190s,17223.293115s,17223.293115s
R[459],17223.375406s,0.022089s,17223.375555s,17223.375556s
R[460],17223.582177s,0.082710s,17223.582246s,17223.582247s
R[461],17223.694322s,0.139719s,17223.694487s,17223.694489s
R[462],17223.873122s,0.002405s,17223.873235s,17223.873236s
R[463],17224.021584s,0.080103s,17224.021683s,17224.080121s
R[464],17224.110889s,0.124095s,17224.110997s,17224.124112s
R[465],17224.255232s,0.006655s,17224.255381s,17224.255382s
R[466],17224.288749s,0.015801s,17224.288836s,17224.288837s
R[467],17224.500816s,0.037163s,17224.500926s,17224.500927s
R[468],17224.520590s,0.039663s,17224.520664s,17224.520664s
R[469],17224.579148s,0.008844s,17224.579266s,17224.579267s
R[470],17224.683481s,0.169660s,17224.683627s,17224.683628s
R[471],17224.722970s,0.009167s,17224.723074s,17224.723075s
R[472],17224.816568s,0.115431s,17224.816663s,17224.816664s
R[473],17224.980494s,0.038080s,17224.980632s,17224.980634s
R[474],17225.031446s,0.026476s,17225.031554s,17225.031555s
R[475],17225.081620s,0.005890s,17225.081712s,17225.081713s
R[476],17225.173195s,0.047165s,17225.173293s,17225.173293s
R[477],17225.405069s,0.093622s,17225.405197s,17225.405198s
R[478],17225.618204s,0.053165s,17225.618304s,17225.618305s
R[479],17225.679998s,0.021178s,17225.680137s,17225.680138s
R[480],17225.714661s,0.071644s,17225.714772s,17225.714773s
R[481],17225.742953s,0.011231s,17225.743059s,17225.743060s
R[482],17225.778837s,0.054519s,17225.778958s,17225.778959s
R[483],17225.917313s,0.017816s,17225.917449s,17225.917450s
R[484],17225.983911s,0.011930s,17225.983997s,17225.983998s
R[485],17226.179754s,0.017004s,17226.179879s,17226.179880s
R[486],17226.214521s,0.192528s,17226.214667s,17226.214669s
R[487],17226.214874s,0.137790s,17226.214974s,17226.214975s
R[488],17226.249021s,0.096936s,17226.249197s,17226.249199s
R[489],17226.354240s,0.003813s,17226.354339s,17226.354340s
R[490],17226.373571s,0.124326s,17226.373649s,17226.373649s
R[491],17226.694786s,0.164599s,17226.694934s,17226.694935s
R[492],17226.706855s,0.429100s,17226.706960s,17226.706961s
R[493],17226.730133s,0.091862s,17226.730269s,17226.730270s
R[494],17226.807019s,0.146954s,17226.807132s,17226.807133s
R[495],17226.869787s,0.103706s,17226.869902s,17226.869903s
R[496],17227.092715s,0.017920s,17227.092801s,17227.092802s
R[497],17227.144750s,0.014006s,17227.144913s,17227.144914s
R[498],17227.326920s,0.032612s,17227.327026s,17227.327027s
R[499],17227.438951s,0.063366s,17227.439064s,17227.439064s
